The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00311-10000               :8739                                :YES
/promote/item-00241-10000               :11203                                :YES
/promote/item-00396-10000               :9852                                :YES
/promote/item-00199-10000               :7781                                :YES
/promote/item-00205-10000               :14712                                :YES
/promote/item-00453-10000               :11547                                :YES
/promote/item-00399-10000               :9402                                :YES
/promote/item-00198-10000               :8627                                :YES
/promote/item-00294-10000               :9386                                :YES
/promote/item-00044-10000               :9146                                :YES
/promote/item-00447-10000               :11100                                :YES
/promote/item-00301-10000               :11790                                :YES
/promote/item-00498-10000               :11070                                :YES
/promote/item-00100-10000               :10310                                :YES
/promote/item-00342-10000               :11614                                :YES
/promote/item-00123-10000               :11690                                :YES
/promote/item-00412-10000               :10669                                :YES
/promote/item-00049-10000               :13440                                :YES
/promote/item-00029-10000               :11176                                :YES
/promote/item-00499-10000               :10332                                :YES
/promote/item-00422-10000               :11736                                :YES
/promote/item-00476-10000               :10749                                :YES
/promote/item-00247-10000               :12043                                :YES
/promote/item-00306-10000               :10090                                :YES
/promote/item-00130-10000               :10664                                :YES
/promote/item-00108-10000               :11642                                :YES
/promote/item-00444-10000               :10583                                :YES
/promote/item-00293-10000               :7629                                :YES
/promote/item-00167-10000               :11938                                :YES
/promote/item-00160-10000               :7894                                :YES
/promote/item-00104-10000               :8946                                :YES
/promote/item-00166-10000               :9490                                :YES
/promote/item-00434-10000               :11858                                :YES
/promote/item-00297-10000               :12026                                :YES
/promote/item-00354-10000               :11521                                :YES
/promote/item-00236-10000               :9728                                :YES
/promote/item-00328-10000               :9968                                :YES
/promote/item-00164-10000               :12530                                :YES
/promote/item-00470-10000               :10387                                :YES
/promote/item-00443-10000               :8171                                :YES
/promote/item-00134-10000               :8115                                :YES
/promote/item-00242-10000               :9567                                :YES
/promote/item-00264-10000               :9563                                :YES
/promote/item-00024-10000               :11214                                :YES
/promote/item-00168-10000               :8532                                :YES
/promote/item-00025-10000               :10984                                :YES
/promote/item-00103-10000               :12692                                :YES
/promote/item-00421-10000               :11503                                :YES
/promote/item-00377-10000               :9336                                :YES
/promote/item-00206-10000               :10698                                :YES
/promote/item-00246-10000               :10346                                :YES
/promote/item-00304-10000               :10386                                :YES
/promote/item-00456-10000               :9064                                :YES
/promote/item-00363-10000               :11425                                :YES
/promote/item-00357-10000               :8553                                :YES
/promote/item-00081-10000               :9333                                :YES
/promote/item-00114-10000               :8428                                :YES
/promote/item-00441-10000               :11813                                :YES
/promote/item-00274-10000               :9531                                :YES
/promote/item-00475-10000               :10986                                :YES
/promote/item-00329-10000               :10580                                :YES
/promote/item-00465-10000               :10489                                :YES
/promote/item-00468-10000               :10697                                :YES
/promote/item-00380-10000               :9952                                :YES
/promote/item-00117-10000               :9812                                :YES
/promote/item-00437-10000               :10510                                :YES
/promote/item-00228-10000               :11899                                :YES
/promote/item-00336-10000               :11285                                :YES
/promote/item-00080-10000               :9596                                :YES
/promote/item-00115-10000               :11232                                :YES
/promote/item-00290-10000               :8423                                :YES
/promote/item-00038-10000               :8848                                :YES
/promote/item-00105-10000               :10196                                :YES
/promote/item-00485-10000               :9047                                :YES
/promote/item-00291-10000               :9756                                :YES
/promote/item-00267-10000               :10969                                :YES
/promote/item-00496-10000               :11112                                :YES
/promote/item-00014-10000               :10423                                :YES
/promote/item-00455-10000               :10119                                :YES
/promote/item-00360-10000               :9833                                :YES
/promote/item-00084-10000               :10457                                :YES
/promote/item-00427-10000               :9251                                :YES
/promote/item-00394-10000               :10582                                :YES
/promote/item-00484-10000               :8393                                :YES
/promote/item-00056-10000               :10925                                :YES
/promote/item-00366-10000               :9710                                :YES
/promote/item-00333-10000               :9186                                :YES
/promote/item-00075-10000               :10562                                :YES
/promote/item-00426-10000               :10380                                :YES
/promote/item-00066-10000               :11795                                :YES
/promote/item-00298-10000               :9941                                :YES
/promote/item-00153-10000               :8754                                :YES
/promote/item-00195-10000               :8944                                :YES
/promote/item-00253-10000               :11350                                :YES
/promote/item-00133-10000               :11616                                :YES
/promote/item-00251-10000               :11204                                :YES
/promote/item-00319-10000               :11337                                :YES
/promote/item-00146-10000               :10629                                :YES
/promote/item-00262-10000               :11176                                :YES
/promote/item-00110-10000               :12345                                :YES
/promote/item-00359-10000               :10080                                :YES
/promote/item-00491-10000               :10773                                :YES
/promote/item-00179-10000               :8817                                :YES
/promote/item-00045-10000               :17622                                :YES
/promote/item-00347-10000               :8466                                :YES
/promote/item-00477-10000               :11548                                :YES
/promote/item-00279-10000               :10615                                :YES
/promote/item-00395-10000               :12984                                :YES
/promote/item-00429-10000               :9787                                :YES
/promote/item-00202-10000               :12471                                :YES
/promote/item-00283-10000               :9454                                :YES
/promote/item-00300-10000               :8640                                :YES
/promote/item-00054-10000               :9519                                :YES
/promote/item-00436-10000               :12845                                :YES
/promote/item-00019-10000               :12087                                :YES
/promote/item-00451-10000               :9949                                :YES
/promote/item-00106-10000               :11561                                :YES
/promote/item-00163-10000               :11001                                :YES
/promote/item-00143-10000               :9535                                :YES
/promote/item-00381-10000               :8583                                :YES
/promote/item-00386-10000               :12070                                :YES
/promote/item-00295-10000               :9021                                :YES
/promote/item-00252-10000               :10462                                :YES
/promote/item-00450-10000               :23588                                :YES
/promote/item-00313-10000               :11040                                :YES
/promote/item-00159-10000               :10613                                :YES
/promote/item-00145-10000               :12119                                :YES
/promote/item-00204-10000               :11851                                :YES
/promote/item-00032-10000               :13937                                :YES
/promote/item-00093-10000               :9468                                :YES
/promote/item-00364-10000               :8974                                :YES
/promote/item-00403-10000               :10707                                :YES
/promote/item-00474-10000               :10800                                :YES
/promote/item-00046-10000               :11565                                :YES
/promote/item-00258-10000               :11291                                :YES
/promote/item-00235-10000               :9842                                :YES
/promote/item-00218-10000               :11002                                :YES
/promote/item-00281-10000               :27420                                :YES
/promote/item-00013-10000               :10340                                :YES
/promote/item-00365-10000               :8576                                :YES
/promote/item-00322-10000               :11019                                :YES
/promote/item-00152-10000               :21835                                :YES
/promote/item-00149-10000               :11739                                :YES
/promote/item-00466-10000               :12767                                :YES
/promote/item-00408-10000               :10144                                :YES
/promote/item-00416-10000               :10872                                :YES
/promote/item-00154-10000               :12272                                :YES
/promote/item-00309-10000               :11678                                :YES
/promote/item-00003-10000               :10108                                :YES
/promote/item-00088-10000               :11077                                :YES
/promote/item-00255-10000               :9361                                :YES
/promote/item-00425-10000               :9438                                :YES
/promote/item-00261-10000               :10205                                :YES
/promote/item-00217-10000               :11263                                :YES
/promote/item-00012-10000               :10961                                :YES
/promote/item-00415-10000               :10147                                :YES
/promote/item-00190-10000               :12155                                :YES
/promote/item-00495-10000               :11895                                :YES
/promote/item-00194-10000               :10108                                :YES
/promote/item-00151-10000               :11234                                :YES
/promote/item-00220-10000               :9474                                :YES
/promote/item-00334-10000               :11360                                :YES
/promote/item-00433-10000               :10628                                :YES
/promote/item-00337-10000               :11027                                :YES
/promote/item-00229-10000               :17912                                :YES
/promote/item-00345-10000               :8239                                :YES
/promote/item-00348-10000               :12060                                :YES
/promote/item-00197-10000               :9750                                :YES
/promote/item-00346-10000               :11489                                :YES
/promote/item-00097-10000               :9117                                :YES
/promote/item-00061-10000               :11846                                :YES
/promote/item-00138-10000               :8455                                :YES
/promote/item-00128-10000               :10806                                :YES
/promote/item-00464-10000               :9107                                :YES
/promote/item-00183-10000               :11128                                :YES
/promote/item-00078-10000               :9178                                :YES
/promote/item-00201-10000               :11269                                :YES
/promote/item-00086-10000               :11858                                :YES
/promote/item-00186-10000               :13628                                :YES
/promote/item-00033-10000               :11437                                :YES
/promote/item-00120-10000               :11588                                :YES
/promote/item-00231-10000               :11591                                :YES
/promote/item-00140-10000               :10968                                :YES
/promote/item-00052-10000               :9199                                :YES
/promote/item-00368-10000               :9597                                :YES
/promote/item-00401-10000               :10108                                :YES
/promote/item-00250-10000               :11624                                :YES
/promote/item-00413-10000               :11541                                :YES
/promote/item-00126-10000               :12274                                :YES
/promote/item-00227-10000               :11539                                :YES
/promote/item-00302-10000               :10625                                :YES
/promote/item-00397-10000               :10639                                :YES
/promote/item-00430-10000               :11724                                :YES
/promote/item-00101-10000               :15582                                :YES
/promote/item-00001-10000               :12535                                :YES
/promote/item-00254-10000               :10628                                :YES
/promote/item-00272-10000               :12611                                :YES
/promote/item-00039-10000               :10503                                :YES
/promote/item-00216-10000               :15644                                :YES
/promote/item-00098-10000               :10794                                :YES
/promote/item-00374-10000               :11891                                :YES
/promote/item-00420-10000               :10964                                :YES
/promote/item-00077-10000               :10541                                :YES
/promote/item-00330-10000               :13722                                :YES
/promote/item-00356-10000               :12082                                :YES
/promote/item-00428-10000               :10432                                :YES
/promote/item-00442-10000               :9675                                :YES
/promote/item-00256-10000               :17581                                :YES
/promote/item-00109-10000               :10938                                :YES
/promote/item-00460-10000               :71195                                :YES
/promote/item-00376-10000               :13121                                :YES
/promote/item-00148-10000               :10719                                :YES
/promote/item-00189-10000               :12156                                :YES
/promote/item-00209-10000               :59525                                :YES
/promote/item-00240-10000               :22908                                :YES
/promote/item-00096-10000               :10687                                :YES
/promote/item-00288-10000               :72323                                :YES
/promote/item-00284-10000               :12111                                :YES
/promote/item-00340-10000               :11478                                :YES
/promote/item-00180-10000               :68366                                :YES
/promote/item-00271-10000               :9586                                :YES
/promote/item-00392-10000               :11127                                :YES
/promote/item-00203-10000               :11981                                :YES
/promote/item-00276-10000               :12280                                :YES
/promote/item-00083-10000               :9674                                :YES
/promote/item-00411-10000               :12312                                :YES
/promote/item-00031-10000               :15858                                :YES
/promote/item-00410-10000               :11670                                :YES
/promote/item-00249-10000               :10856                                :YES
/promote/item-00095-10000               :8660                                :YES
/promote/item-00070-10000               :23741                                :YES
/promote/item-00497-10000               :15932                                :YES
/promote/item-00393-10000               :12707                                :YES
/promote/item-00040-10000               :37859                                :YES
/promote/item-00048-10000               :12301                                :YES
/promote/item-00192-10000               :10444                                :YES
/promote/item-00303-10000               :10992                                :YES
/promote/item-00079-10000               :10312                                :YES
/promote/item-00207-10000               :11722                                :YES
/promote/item-00034-10000               :11853                                :YES
/promote/item-00312-10000               :15008                                :YES
/promote/item-00144-10000               :9542                                :YES
/promote/item-00118-10000               :11981                                :YES
/promote/item-00210-10000               :43470                                :YES
/promote/item-00010-10000               :9838                                :YES
/promote/item-00129-10000               :14251                                :YES
/promote/item-00169-10000               :9303                                :YES
/promote/item-00213-10000               :11372                                :YES
/promote/item-00177-10000               :11079                                :YES
/promote/item-00000-10000               :9627                                :YES
/promote/item-00372-10000               :13460                                :YES
/promote/item-00196-10000               :9792                                :YES
/promote/item-00265-10000               :8713                                :YES
/promote/item-00493-10000               :20498                                :YES
/promote/item-00107-10000               :81715                                :YES
/promote/item-00224-10000               :10842                                :YES
/promote/item-00035-10000               :8928                                :YES
/promote/item-00021-10000               :12145                                :YES
/promote/item-00344-10000               :8596                                :YES
/promote/item-00090-10000               :14579                                :YES
/promote/item-00338-10000               :12265                                :YES
/promote/item-00488-10000               :11162                                :YES
/promote/item-00257-10000               :10911                                :YES
/promote/item-00266-10000               :8649                                :YES
/promote/item-00353-10000               :18923                                :YES
/promote/item-00402-10000               :10265                                :YES
/promote/item-00006-10001               :2269                                :YES
/promote/item-00292-10001               :2241                                :YES
/promote/item-00087-10001               :2112                                :YES
/promote/item-00022-10001               :3168                                :YES
/promote/item-00234-10001               :2700                                :YES
/promote/item-00131-10001               :2292                                :YES
/promote/item-00277-10001               :2461                                :YES
/promote/item-00478-10001               :2092                                :YES
/promote/item-00435-10001               :3450                                :YES
/promote/item-00335-10001               :3002                                :YES
/promote/item-00069-10001               :2631                                :YES
/promote/item-00174-10001               :2301                                :YES
/promote/item-00449-10001               :2323                                :YES
/promote/item-00245-10001               :2159                                :YES
/promote/item-00404-10001               :2858                                :YES
/promote/item-00037-10001               :3143                                :YES
/promote/item-00018-10001               :2638                                :YES
/promote/item-00226-10001               :2225                                :YES
/promote/item-00454-10001               :2204                                :YES
/promote/item-00099-10001               :2454                                :YES
/promote/item-00375-10001               :2158                                :YES
/promote/item-00419-10001               :2176                                :YES
/promote/item-00155-10001               :2239                                :YES
/promote/item-00175-10001               :2643                                :YES
/promote/item-00414-10001               :2396                                :YES
/promote/item-00424-10001               :2331                                :YES
/promote/item-00206-10001               :2125                                :YES
/promote/item-00371-10001               :2773                                :YES
/promote/item-00472-10001               :2338                                :YES
/promote/item-00135-10001               :2390                                :YES
/promote/item-00280-10001               :2013                                :YES
/promote/item-00487-10001               :1574                                :YES
/promote/item-00170-10001               :2433                                :YES
/promote/item-00260-10001               :2446                                :YES
/promote/item-00060-10001               :2895                                :YES
/promote/item-00223-10001               :3093                                :YES
/promote/item-00383-10001               :2244                                :YES
/promote/item-00431-10001               :2447                                :YES
/promote/item-00111-10001               :2991                                :YES
/promote/item-00358-10001               :2621                                :YES
/promote/item-00176-10001               :3035                                :YES
/promote/item-00299-10001               :3015                                :YES
/promote/item-00373-10001               :2244                                :YES
/promote/item-00289-10001               :2385                                :YES
/promote/item-00181-10001               :2183                                :YES
/promote/item-00481-10001               :2793                                :YES
/promote/item-00036-10001               :2897                                :YES
/promote/item-00058-10001               :1884                                :YES
/promote/item-00398-10001               :1997                                :YES
/promote/item-00339-10001               :2605                                :YES
/promote/item-00479-10001               :2782                                :YES
/promote/item-00023-10001               :2780                                :YES
/promote/item-00191-10001               :2580                                :YES
/promote/item-00458-10001               :1934                                :YES
/promote/item-00127-10001               :2242                                :YES
/promote/item-00053-10001               :2932                                :YES
/promote/item-00459-10001               :2493                                :YES
/promote/item-00124-10001               :2624                                :YES
/promote/item-00343-10001               :2683                                :YES
/promote/item-00016-10001               :1522                                :YES
/promote/item-00469-10001               :2310                                :YES
/promote/item-00215-10001               :2975                                :YES
/promote/item-00270-10001               :3165                                :YES
/promote/item-00420-10001               :2670                                :YES
/promote/item-00065-10001               :2187                                :YES
/promote/item-00342-10001               :2647                                :YES
/promote/item-00492-10001               :2378                                :YES
/promote/item-00439-10001               :3013                                :YES
/promote/item-00445-10001               :3178                                :YES
/promote/item-00310-10001               :2880                                :YES
/promote/item-00248-10001               :1952                                :YES
